CountryCode,SeriesCode,DESCRIPTION
"BGR","SP.DYN.TFRT.IN","Data source: Eurostat, National Statistical Institute"
"BGR","IT.NET.USER.ZS","Bulgarian Telecommunications Company Ltd. From 2002: Communications Regulation Commission."
"BGR","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"BGR","SP.DYN.LE00.MA.IN","Data source: Eurostat, National Statistical Institute"
"BGR","SP.DYN.CBRT.IN","Data source: Eurostat, National Statistical Institute"
"BGR","SP.POP.TOTL","Data source: Eurostat"
"BGR","SP.DYN.LE00.IN","Derived using male and female life expectancy"
"BHR","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"BHR","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BHR","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BHR","SG.POP.MIGR.FE.ZS","Estimates were derived from data on foreign citizens."
"BHR","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BHR","IT.NET.USER.ZS","Bahrain Telecommunications Company. From 2004: Telecommunications Regulatory Authority (TRA)."
"BHR","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BHR","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BHR","SP.POP.TOTL","Data source: Bahrain Information and eGovernment Authority, United Nations World Population Prospects"
"BHR","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BHR","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BHS","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"BHS","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BHS","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
"BHS","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"BHS","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BHS","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BHS","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BHS","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BHS","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BHS","IT.NET.USER.ZS","Batelco, Bahamas Telecommunications Corporation."
"BHS","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BIH","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BIH","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BIH","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BIH","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BIH","IT.NET.USER.ZS","Public Enterprise PTT Bosnia and Herzegovina (PTT BIH). From 2002: Communications Regulatory Agency B & H."
"BIH","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BIH","SP.POP.TOTL","Data source: United Nations World Population Prospects"
